Canonical Name,lat,long
"Acme,Alberta,Canada",51.4988167,-113.5083098
"Airdrie,Alberta,Canada",51.28597,-114.01062
"Athabasca,Alberta,Canada",54.7740629,-112.9256435
"Banff,Alberta,Canada",51.1777781,-115.5682504
"Barrhead,Alberta,Canada",54.1688675,-114.4747952
"Bonnyville,Alberta,Canada",54.4316317,-110.5826304
"Bow Island,Alberta,Canada",49.868046,-111.3762536
"Breton,Alberta,Canada",53.1107791,-114.4714876
"Brooks,Alberta,Canada",50.571027,-111.893005
"Calgary,Alberta,Canada",51.02532675,-114.049868485806
"Camrose,Alberta,Canada",53.013131,-112.840576
"Canmore,Alberta,Canada",51.0866897,-115.3481135
"Cold Lake,Alberta,Canada",54.46046,-110.192871
"Didsbury,Alberta,Canada",51.6607926,-114.1372475
"Drayton Valley,Alberta,Canada",53.2205548,-114.9832127
"Drumheller,Alberta,Canada",51.4662795,-112.7046642
"Edmonton,Alberta,Canada",53.535411,-113.507996
"Edson,Alberta,Canada",53.5858662,-116.4428477
"Fairview,Alberta,Canada",56.0334402,-118.3818241
"Fort MacLeod,Alberta,Canada",49.7257568,-113.4053475
"Fort McMurray,Alberta,Canada",56.7291997,-111.3885221
"Fort Saskatchewan,Alberta,Canada",53.712965,-113.214111
"Cold Lake South,Alberta,Canada",54.4158742,-110.2142858
"Grande Cache,Alberta,Canada",53.8888135,-119.1185658
"Grande Prairie,Alberta,Canada",55.1709919,-118.7948882
"High Level,Alberta,Canada",58.516667,-117.133333
"High Prairie,Alberta,Canada",55.4325044,-116.4836198
"High River,Alberta,Canada",50.5797079,-113.8569213
"Hinton,Alberta,Canada",53.4046768,-117.570219
"Jasper,Alberta,Canada",52.8752336,-118.0824291
"Lac la Biche,Alberta,Canada",55.2467859,-111.8354916
"Lacombe,Alberta,Canada",52.4727515,-113.733215
"Langdon,Alberta,Canada",50.9735697,-113.6769252
"Leduc,Alberta,Canada",53.2607636,-113.5501238
"Lethbridge,Alberta,Canada",49.694285,-112.851562
"Lloydminster,Alberta,Canada",53.279995,-110.00885
"Medicine Hat,Alberta,Canada",50.04303,-110.679016
"Morinville,Alberta,Canada",53.8009283,-113.6506625
"Munson,Alberta,Canada",51.5615463,-112.742812
"Nisku,Alberta,Canada",53.333333,-113.533333
"Okotoks,Alberta,Canada",50.7253685,-113.975082
"Olds,Alberta,Canada",51.7923735,-114.1130367
"Peace River,Alberta,Canada",56.23253295,-117.320670678044
"Ponoka,Alberta,Canada",52.7179975,-113.9112662
"Provost,Alberta,Canada",52.4137383,-110.639576
"Red Deer,Alberta,Canada",52.269838,-113.818359
"Redcliff,Alberta,Canada",50.083333,-110.783333
"Redwood Meadows,Alberta,Canada",50.9904543,-114.5043434
"Rocky Mountain House,Alberta,Canada",52.38196845,-114.912057731829
"Sherwood Park,Alberta,Canada",53.5256963,-113.2966313
"Slave Lake,Alberta,Canada",55.2810741,-114.7717876
"Spruce Grove,Alberta,Canada",53.545204,-113.903503
"St. Albert,Alberta,Canada",53.633239,-113.628845
"Saint Paul,Alberta,Canada",53.9446204,-111.2100163
"Stettler,Alberta,Canada",52.3228746,-112.7130208
"Stony Plain,Alberta,Canada",53.5289862,-114.0048731
"Swan Hills,Alberta,Canada",54.7180657,-115.4008258
"Taber,Alberta,Canada",49.8895343,-112.0488074
"Tees,Alberta,Canada",52.4669886,-113.3211867
"Three Hills,Alberta,Canada",51.7,-113.266667
"Valleyview,Alberta,Canada",55.066667,-117.283333
"Vegreville,Alberta,Canada",53.5,-112.05
"Vermilion River County No. 24,Alberta,Canada",53.341595,-110.332234
"Wainwright,Alberta,Canada",52.8236857,-110.6639823
"Westlock,Alberta,Canada",54.2700377,-113.8513211
"Wetaskiwin,Alberta,Canada",52.968492,-113.36792
"Whitecourt,Alberta,Canada",54.12738935,-115.651597513717
"100 Mile House,British Columbia,Canada",51.6427866,-121.2956943
"Abbotsford,British Columbia,Canada",49.0521162,-122.3294792
"Aldergrove,British Columbia,Canada",49.0596635,-122.4922381
"Alert Bay,British Columbia,Canada",50.583333,-126.916667
"Alexandria,British Columbia,Canada",52.633333,-122.45
"Armstrong,British Columbia,Canada",50.4435749,-119.1944058
"Ashcroft,British Columbia,Canada",50.7212409,-121.2835436
"Bamfield,British Columbia,Canada",48.833086,-125.141144
"Barriere,British Columbia,Canada",51.1891346,-120.1334529
"Bella Bella,British Columbia,Canada",52.1625615,-128.1452077
"Blue River,British Columbia,Canada",52.1201032,-119.3097407
"Brackendale,British Columbia,Canada",49.766667,-123.15
"Brentwood Bay,British Columbia,Canada",48.5723029,-123.4616951
"Burnaby,British Columbia,Canada",49.2433804,-122.9725459
"Burns Lake,British Columbia,Canada",54.230269,-125.7645032
"Campbell River,British Columbia,Canada",50.023071,-125.2441538
"Canyon,British Columbia,Canada",49.079251,-116.4476979
"Castlegar,British Columbia,Canada",49.316171,-117.663574
"Chase,British Columbia,Canada",50.8193356,-119.6861773
"Chilliwack,British Columbia,Canada",49.157677,-121.9514307
"Clearbrook,British Columbia,Canada",49.05,-122.333333
"Clearwater,British Columbia,Canada",51.6503514,-120.0654595
"Clinton,British Columbia,Canada",51.0916698,-121.5865244
"Cloverdale,British Columbia,Canada",49.1161848,-122.7214847
